facility_id,name,ward,address,lat,lng,facility_type,phone,website,notes,nearest_station,walk_minutes,name_kana,station_kana,map_url
1410051014918,ベネッセ　日吉保育園,港北区,日本、〒223-8526 神奈川県横浜市港北区日吉４丁目１−１ 1F 慶應義塾日吉キャンパス,35.5520511,139.6472816,"establishment,point_of_interest,school",045-560-6506,https://hoiku.benesse-style-care.co.jp/facilities/area_kanagawa/yokohama/h-hiyoshi/,,日吉駅,1,べねっせひよしほいくえん,ひよし,https://maps.google.com/?cid=3348325136545956794
1410051024594,ベネッセ　新横浜保育園,港北区,日本、〒222-0033 神奈川県横浜市港北区新横浜２丁目１１−１１ スケートセンタ 2階,35.507934,139.612343,"establishment,point_of_interest,school",+81 45-476-5741,https://hoiku.benesse-style-care.co.jp/facilities/area_kanagawa/yokohama/h-cccshinyokohama/,,浜鳥橋駅,4,べねっせしんよこはまほいくえん,IKEAこうほく しゃとるばすのりば,https://maps.google.com/?cid=9156083472015116886
1410051024974,アスクみのわ保育園,港北区,日本、〒223-0051 神奈川県横浜市港北区箕輪町２丁目２−２９ 1F,35.5470576,139.6440535,"establishment,point_of_interest,school",045-566-8606,https://list.nihonhoiku.co.jp/nursery/detail/minowa/?utm_source=google&utm_medium=map&utm_campaign=gbp,,プラウドシティ日吉駅,4,あすくみのわほいくえん,ぷらうどしてぃひよし,https://maps.google.com/?cid=133913106740443876
1410051017135,岩崎学園新横浜保育園,港北区,日本、〒222-0033 神奈川県横浜市港北区新横浜２丁目４−１０,35.509036,139.616174,"establishment,point_of_interest,school",045-474-2365,http://hoiku.iwasaki.ac.jp/kosodate/isyh/index.html,,新横浜駅,5,いわさきがくえんしんよこはまほいくえん,しんよこはま,https://maps.google.com/?cid=14058616145991846520
1410051026516,明日葉保育園綱島園,港北区,日本、〒223-0052 神奈川県横浜市港北区綱島東３丁目１−４,35.5378822,139.6402475,"establishment,point_of_interest,school",045-717-7714,https://www.ashita-ba.jp/hoiku/tsunashima/,,長福寺前駅,5,あしたばほいくえんつなしまその,ちょうふくてらまえ,https://maps.google.com/?cid=3553907803523963060
1410051027886,横浜りとるぱんぷきんず(保育所部分),港北区,日本、〒223-0062 神奈川県横浜市港北区日吉本町４丁目１０−４９,35.5457737,139.6348366,"establishment,point_of_interest,school",045-560-5645,https://www.seikoukai.or.jp/facilities/yokohama/,,日吉本町交番入口駅,3,よこはまりとるぱんぷきんず(ほいくしょぶぶん),ひよしほんちょうこうばんいりぐち,https://maps.google.com/?cid=259097597118571709
1410051026003,にじいろ保育園日吉,港北区,日本、〒223-0051 神奈川県横浜市港北区箕輪町２丁目７−４２ プラウドシティ日吉 ﾚｼﾞﾃﾞﾝｽⅡｿｺﾗ日吉,35.5464641,139.6447317,"establishment,point_of_interest,school",045-534-5261,https://www.like-kd.co.jp/establishment/nijiiro/HPhiyoshi?utm_source=google&utm_medium=maps&utm_campaign=hiyoshi,,プラウドシティ日吉駅,2,にじいろほいくえんひよし,ぷらうどしてぃひよし,https://maps.google.com/?cid=4204802428231622655
1410051017259,新羽どろんこ保育園,港北区,日本、〒223-0057 神奈川県横浜市港北区新羽町２１８５−１,35.5264206,139.6090586,"establishment,point_of_interest,school",045-544-5033,https://www.doronko.jp/facilities/doronko-nippa/?utm_source=GBP&utm_medium=click&utm_campaign=page_doronko-nippa,,中井下駅,4,しんはねどろんこほいくえん,なかいした,https://maps.google.com/?cid=16939733256837428911
1410051026631,ぶれすと新横浜ほいくえん,港北区,日本、〒222-0034 神奈川県横浜市港北区岸根町３７５−１,35.5027115,139.6129645,"establishment,point_of_interest,school",045-718-6107,https://hoikuen.brest.co.jp/shinyoko/,,又口橋駅,8,ぶれすとしんよこはまほいくえん,またくちはし,https://maps.google.com/?cid=5559648245052289358
1410051015758,パレット保育園・高田,港北区,日本、〒223-0065 神奈川県横浜市港北区高田東４丁目２２−３８,35.5492024,139.6204353,"establishment,point_of_interest,school",045-544-1149,https://p-hoiku.com/info/72-2/%E5%90%84%E5%9C%92%E6%83%85%E5%A0%B1_%E9%AB%98%E7%94%B0/,,高田駅,1,ぱれっとほいくえん・たかだ,たかだ,https://maps.google.com/?cid=7626428599501457926
1410051015220,尚花愛児園,港北区,日本、〒223-0053 神奈川県横浜市港北区綱島西２丁目１５−８,35.5354776,139.6299488,"establishment,point_of_interest,school",045-542-0233,https://www.shoka-aijien.or.jp/,,綱島西二丁目駅,2,たかしはなあいじその,つなしまにしにちょうめ,https://maps.google.com/?cid=5102384291662947456
1410051019289,ポピンズナーサリースクール小机,港北区,日本、〒222-0036 神奈川県横浜市港北区小机町２５８０−１,35.507964,139.600842,"establishment,point_of_interest,school",045-470-6621,https://www.poppins.co.jp/educare/room-search/kodukue/?utm_source=gmap&utm_medium=room&utm_campaign=202210,,小机駅,2,ぽぴんずなーさりーすくーるこづくえ,こづくえ,https://maps.google.com/?cid=3413805028578412476
1410051027134,まなびの森　ヴィラ日吉こども園,港北区,日本、〒223-0051 神奈川県横浜市港北区箕輪町１丁目２−１ １,35.5509782,139.6470934,"establishment,point_of_interest,school",,http://kodomonomori.co.jp/vh/,,日吉駅,3,まなびのもりゔぃらひよしこどもその,ひよし,https://maps.google.com/?cid=8919426728818398577
